ID_REF	GSM1150937	GSM1150938	GSM1150939	GSM1150940	GSM1150941	GSM1150942
10821648	5134.47	5363.28	5028.11	4342.17	4569.75	4691.72
10821650	565.36	500.27	494.97	368.34	412.39	432.83
10821658	582.4	522.07	531.53	585.06	587.84	555.38
10821666	80.23	66.85	72.85	41.4	52.04	53.55
10821685	1308.14	1175.45	1230.39	901.32	962.12	1063.05
10821689	365.42	331.24	307.16	169.57	216.31	248.38
10821695	1296.67	1189.3	1171.06	1003.83	1060.77	1049.22
10821698	799.23	668.55	832.64	374.02	438.99	447.5
10821716	377.78	325.28	372.18	320.6	246.77	297.25
10821741	714.74	615.78	495.82	350.12	434.05	460.52
10821744	39.85	27.25	31.87	27.84	29.73	28.96
10821746	162.49	166.56	161.58	179.1	162.14	169.93
10821749	504.77	460.93	455.1	462.99	454.34	456.41
10821769	297.08	308.37	275.11	249.24	292.94	271.41
10821771	1373.56	1381.39	1319.61	1452.07	1368.33	1345.57
10821820	218.3	220.13	197.1	180.75	185.99	203.99
10821822	1941.29	2194.54	2009.05	2283.45	2257.8	2317.25
10821824	481.76	430.63	458.32	327.2	367.04	392.99
10821838	3032.52	3432.87	3588.84	3258.74	2919.89	3470.67
10821840	249.53	256.03	271.57	328.23	319.36	329.6
10821851	240.31	181.26	220.21	91.68	107.61	125.93
10821860	763.17	1019.11	980.39	2508.31	2108.94	2093.64
10821897	140.99	125.33	111.97	130.58	131.16	121.71
10821900	429.07	422.72	439.7	378.58	432.12	448.85
10821914	836.42	819.56	815.27	730.24	735.75	750.65
10821924	999.93	920.4	1012.17	887.14	968.52	913.71
10821943	49.11	36.7	33.77	40.33	35.18	36.57
10821955	174.71	256.66	266.38	211.07	183.56	231.61
10821957	76	86.3	83.99	69.66	76.2	79.16
10821959	623.93	597.93	596.95	538.03	596.76	605.6
10821980	61.15	67.35	68.2	58.66	58.66	67.53
10821984	43.49	42.79	43.54	50.06	45.22	36.01
10821989	85.95	81.41	95.24	73.9	73.35	76.63
10821991	211.33	276.98	300.06	184.16	188.55	201.54
10822000	1721.8	1811.66	1795.16	2751.69	2290.43	2357.43
10822005	619.54	673.63	649.93	641.33	671.41	642.68
10822007	1300.63	1245.92	1277.94	1249.64	1245.32	1255.98
10822025	6996.41	6595.65	7625.94	5227.84	5441.92	5321.07
10822029	64.95	63.2	64.07	78.24	74.19	67.39
10822031	140.74	125.57	137.8	173.97	153.96	149.07
10822033	489.1	482.1	526.42	611.57	539.22	547.17
10822043	322.52	225.69	287.6	205.64	230.8	202.24
10822056	502.08	577.85	633.94	459.06	502.91	513.7
10822058	15.73	15.87	18.02	14.82	19.71	22.79
